txn_id,customer_id,txn_date,amount,category,payment,true_segment
1,1,2024-12-30,1890.37,Grocery,Wallet,champion
2,1,2024-12-23,3200.26,Clothing,UPI,champion
3,1,2024-12-30,3239.6,Grocery,Card,champion
4,1,2024-12-29,2471.82,Sports,UPI,champion
5,1,2024-12-30,1870.76,Grocery,UPI,champion
6,1,2024-12-30,3456.27,Grocery,Cash,champion
7,1,2024-12-27,4236.19,Grocery,Wallet,champion
8,1,2024-12-30,3530.5,Electronics,UPI,champion
9,1,2024-12-24,4335.8,Grocery,UPI,champion
10,1,2024-12-26,4243.44,Beauty,Wallet,champion
11,1,2024-12-30,3497.61,Clothing,Wallet,champion
12,1,2024-12-30,3684.6,Sports,UPI,champion
13,1,2024-12-28,4819.17,Clothing,Card,champion
14,1,2024-12-28,3118.99,Beauty,UPI,champion
15,1,2024-12-29,3347.96,Electronics,Wallet,champion
16,1,2024-12-30,3294.56,Electronics,UPI,champion
17,1,2024-12-29,2697.27,Beauty,UPI,champion
18,1,2024-12-30,3521.6,Clothing,UPI,champion
19,1,2024-12-30,3073.6,Grocery,Card,champion
20,1,2024-12-30,2250.49,Clothing,Card,champion
21,1,2024-12-30,2223.13,Sports,UPI,champion
22,1,2024-12-30,3776.11,Grocery,UPI,champion
23,1,2024-12-30,3811.81,Sports,UPI,champion
24,1,2024-12-26,4332.64,Clothing,UPI,champion
25,1,2024-12-29,3149.93,Beauty,Card,champion
26,1,2024-12-29,3763.09,Sports,Card,champion
27,1,2024-12-30,4230.12,Clothing,Wallet,champion
28,1,2024-12-30,2880.86,Electronics,Card,champion
29,1,2024-12-30,3839.87,Clothing,UPI,champion
30,1,2024-12-30,4491.79,Electronics,Wallet,champion
31,1,2024-12-30,1872.17,Clothing,Wallet,champion
32,2,2024-12-24,138.13,Electronics,UPI,lost
33,2,2023-11-29,140.79,Beauty,Wallet,lost
34,3,2024-10-30,671.82,Grocery,Card,at_risk
35,3,2024-12-25,899.92,Electronics,Card,at_risk
36,3,2024-07-27,342.9,Clothing,UPI,at_risk
37,3,2024-12-24,349.31,Electronics,Card,at_risk
38,4,2024-12-21,499.43,Sports,Cash,at_risk
39,4,2024-12-21,633.75,Grocery,Card,at_risk
40,4,2024-09-25,585.96,Grocery,UPI,at_risk
41,4,2024-11-13,891.25,Beauty,UPI,at_risk
42,4,2024-12-03,619.57,Grocery,UPI,at_risk
43,4,2024-12-26,318.67,Clothing,Wallet,at_risk
44,4,2024-11-11,772.38,Clothing,Cash,at_risk
45,5,2024-09-11,495.34,Grocery,Wallet,lost
46,5,2024-03-20,471.12,Beauty,Card,lost
47,5,2024-06-03,425.72,Electronics,Card,lost
48,5,2024-06-11,468.88,Electronics,Card,lost
49,6,2024-12-29,7032.34,Sports,UPI,champion
50,6,2024-12-30,8135.7,Beauty,UPI,champion
51,6,2024-12-29,5553.7,Electronics,Wallet,champion
52,6,2024-12-22,2763.13,Beauty,UPI,champion
53,6,2024-12-30,4580.53,Electronics,Card,champion
54,6,2024-12-30,6358.76,Grocery,Card,champion
55,6,2024-12-29,4142.16,Electronics,Wallet,champion
56,6,2024-12-29,7308.1,Grocery,UPI,champion
57,6,2024-12-30,7949.45,Clothing,UPI,champion
58,6,2024-12-30,3966.12,Sports,Card,champion
59,6,2024-12-30,5129.26,Clothing,UPI,champion
60,6,2024-12-30,4735.57,Clothing,UPI,champion
61,6,2024-12-24,7020.44,Grocery,Cash,champion
62,6,2024-12-28,3872.57,Beauty,UPI,champion
63,6,2024-12-26,6152.05,Electronics,Card,champion
64,6,2024-12-30,5654.09,Electronics,UPI,champion
65,6,2024-12-30,4665.83,Sports,UPI,champion
66,6,2024-12-30,5321.66,Beauty,UPI,champion
67,6,2024-12-28,5908.73,Clothing,Cash,champion
68,6,2024-12-30,3858.37,Grocery,UPI,champion
69,6,2024-12-30,4532.74,Beauty,Card,champion
70,6,2024-12-28,7856.06,Beauty,Wallet,champion
71,6,2024-12-30,7234.5,Clothing,UPI,champion
72,6,2024-12-27,6020.49,Electronics,UPI,champion
73,6,2024-12-30,3274.04,Electronics,Card,champion
74,6,2024-12-30,3618.25,Grocery,Card,champion
75,6,2024-12-28,7183.32,Clothing,UPI,champion
76,6,2024-12-30,5400.89,Grocery,Card,champion
77,6,2024-12-30,6255.92,Electronics,Cash,champion
78,6,2024-12-29,5087.94,Electronics,UPI,champion
79,7,2024-12-14,1357.27,Beauty,UPI,at_risk
80,7,2024-11-13,934.04,Clothing,Cash,at_risk
81,7,2024-12-26,1295.71,Sports,Card,at_risk
82,7,2024-08-07,963.88,Sports,Cash,at_risk
83,7,2024-12-18,1280.49,Electronics,Card,at_risk
84,7,2024-12-22,1117.41,Beauty,UPI,at_risk
85,8,2024-12-03,424.67,Clothing,UPI,at_risk
86,8,2024-12-30,503.14,Beauty,Wallet,at_risk
87,8,2024-12-24,780.87,Beauty,Card,at_risk
88,8,2024-11-15,325.58,Beauty,Card,at_risk
89,8,2024-11-10,760.98,Beauty,Wallet,at_risk
90,8,2024-12-30,594.11,Clothing,Wallet,at_risk
91,8,2024-11-22,677.73,Grocery,Cash,at_risk
92,8,2024-10-28,808.9,Sports,UPI,at_risk
93,8,2024-08-31,390.56,Sports,Card,at_risk
94,9,2024-12-11,2388.7,Electronics,UPI,loyal
95,9,2024-12-03,2685.88,Beauty,Card,loyal
96,9,2024-12-29,1421.97,Sports,UPI,loyal
97,9,2024-12-30,2269.88,Sports,UPI,loyal
98,9,2024-12-30,1204.86,Clothing,Wallet,loyal
99,9,2024-12-30,2240.84,Sports,UPI,loyal
100,9,2024-11-20,2752.16,Beauty,UPI,loyal
101,9,2024-12-30,2995.26,Grocery,UPI,loyal
102,9,2024-12-29,1508.03,Grocery,Cash,loyal
103,9,2024-12-29,2304.35,Electronics,UPI,loyal
104,9,2024-12-17,1637.81,Electronics,Card,loyal
105,9,2024-12-25,2397.6,Grocery,Card,loyal
106,9,2024-12-19,2593.65,Beauty,Wallet,loyal
107,9,2024-12-11,3092.87,Beauty,UPI,loyal
108,9,2024-12-27,2387.91,Sports,UPI,loyal
109,9,2024-12-01,2257.29,Beauty,UPI,loyal
110,9,2024-12-28,2665.71,Grocery,Wallet,loyal
111,9,2024-12-16,1565.98,Electronics,UPI,loyal
112,9,2024-12-29,1656.95,Clothing,Cash,loyal
113,9,2024-12-13,1495.64,Electronics,Card,loyal
114,9,2024-12-15,2635.9,Grocery,Card,loyal
115,9,2024-10-21,2413.97,Beauty,UPI,loyal
116,9,2024-12-30,2117.29,Sports,Wallet,loyal
117,9,2024-12-29,2795.15,Beauty,Card,loyal
118,10,2024-12-26,3335.79,Beauty,Wallet,loyal
119,10,2024-12-19,3481.1,Grocery,UPI,loyal
120,10,2024-10-29,3005.91,Grocery,UPI,loyal
121,10,2024-12-20,2333.49,Sports,Wallet,loyal
122,10,2024-12-29,3804.22,Clothing,Card,loyal
123,10,2024-11-24,2523.86,Sports,UPI,loyal
124,10,2024-12-25,1476.57,Clothing,Wallet,loyal
125,10,2024-12-21,1735.16,Grocery,UPI,loyal
126,10,2024-12-24,2819.99,Clothing,Card,loyal
127,10,2024-11-29,1424.3,Clothing,UPI,loyal
128,10,2024-12-24,2933.52,Sports,Wallet,loyal
129,10,2024-12-30,3837.29,Electronics,UPI,loyal
130,10,2024-12-22,3140.98,Electronics,Card,loyal
131,11,2024-11-12,3699.34,Beauty,Card,loyal
132,11,2024-12-11,2538.47,Sports,Card,loyal
133,11,2024-12-29,1492.48,Electronics,Card,loyal
134,11,2024-12-26,1888.78,Grocery,Cash,loyal
135,11,2024-12-30,2004.45,Electronics,UPI,loyal
136,11,2024-12-20,2330.55,Beauty,UPI,loyal
137,11,2024-12-24,2909.9,Electronics,Cash,loyal
138,11,2024-12-17,3846.31,Sports,Card,loyal
139,11,2024-12-28,2584.32,Electronics,Card,loyal
140,11,2024-12-17,1950.24,Clothing,UPI,loyal
141,11,2024-12-30,2626.38,Sports,Card,loyal
142,11,2024-11-19,2626.7,Beauty,Card,loyal
143,11,2024-11-10,3129.46,Sports,Card,loyal
144,11,2024-12-14,1465.12,Electronics,Card,loyal
145,11,2024-12-17,3132.07,Clothing,Wallet,loyal
146,11,2024-12-20,3512.43,Electronics,Wallet,loyal
147,11,2024-12-17,2143.89,Electronics,UPI,loyal
148,12,2024-12-27,4026.13,Grocery,UPI,loyal
149,12,2024-12-09,1501.87,Clothing,Wallet,loyal
150,12,2024-12-28,1635.96,Beauty,Card,loyal
151,12,2024-12-06,1858.52,Sports,Card,loyal
152,12,2024-12-15,2029.27,Sports,Wallet,loyal
153,12,2024-12-25,3416.37,Grocery,UPI,loyal
154,12,2024-11-15,2945.62,Sports,Card,loyal
155,12,2024-11-14,4130.05,Grocery,Cash,loyal
156,12,2024-12-29,1573.54,Grocery,UPI,loyal
157,12,2024-12-28,1866.3,Grocery,Cash,loyal
158,12,2024-12-29,2276.13,Beauty,UPI,loyal
159,12,2024-12-03,1649.79,Beauty,UPI,loyal
160,12,2024-12-28,2007.09,Grocery,Wallet,loyal
161,12,2024-12-09,1866.14,Beauty,UPI,loyal
162,13,2024-12-11,683.72,Grocery,Card,loyal
163,13,2024-12-04,1102.78,Electronics,UPI,loyal
164,13,2024-11-23,820.94,Beauty,Cash,loyal
165,13,2024-12-12,603.33,Grocery,UPI,loyal
166,13,2024-12-11,564.86,Sports,UPI,loyal
167,13,2024-12-30,1147.49,Clothing,Card,loyal
